"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"(R2)3k1,R5","2","3k3","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"A1","1","Arduino_Nano_Every","","","","Module:Arduino_Nano_WithMountingHoles","https://content.arduino.cc/assets/NANOEveryV3.0_sch.pdf"
"D1,D2,D3,D4","4","BAT43","","","","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal","http://www.vishay.com/docs/85660/bat42.pdf"
"J1","1","Conn_01x04_Socket","","","","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","~"
"Q1","1","2N7000","","","","Package_TO_SOT_THT:TO-92_Inline","https://www.vishay.com/docs/70226/70226.pdf"
"R1,R4","2","22k","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"R3,R6","2","2k2","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"R7","1","220R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"R8,R9","2","100R","","","","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Vertical","~"
"TP1,TP2,TP3,TP4,TP5","5","TestPoint","","","","TestPoint:TestPoint_THTPad_D1.0mm_Drill0.5mm","~"
"U1","1","MOUDLE-SEEEDUINO-XIAO-ESP32S3","","","","MOUDLE-SEEEDUINO-XIAO-ESP32S3:XIAO-ESP32S3-DIP",""
